order_number,customer_key,product_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO45161,14979,9,2011-07-15,2011-07-22,2011-07-27,3375,1,3375
SO45164,454,9,2011-07-15,2011-07-22,2011-07-27,3375,1,3375
SO45264,455,9,2011-07-31,2011-08-07,2011-08-12,3375,1,3375
SO45870,15013,9,2011-10-08,2011-10-15,2011-10-20,3375,1,3375
SO45890,339,9,2011-10-11,2011-10-18,2011-10-23,3375,1,3375
SO60738,3948,163,2013-06-23,2013-06-30,2013-07-05,742,1,742
SO60762,3013,108,2013-06-23,2013-06-30,2013-07-05,35,1,35
SO60947,11267,148,2013-06-26,2013-07-03,2013-07-08,540,1,540
SO60947,11267,105,2013-06-26,2013-07-03,2013-07-08,159,1,159
SO61088,8528,102,2013-06-28,2013-07-05,2013-07-10,5,1,5
SO61094,2596,102,2013-06-29,2013-07-06,2013-07-11,5,1,5
SO61142,13858,102,2013-06-29,2013-07-06,2013-07-11,5,1,5
SO61145,7041,105,2013-06-29,2013-07-06,2013-07-11,159,1,159
SO61170,15914,102,2013-06-29,2013-07-06,2013-07-11,5,1,5
SO61275,2997,108,2013-06-30,2013-07-07,2013-07-12,35,1,35
SO72252,11936,102,2013-12-03,2013-12-10,2013-12-15,5,1,5
SO72257,15296,108,2013-12-03,2013-12-10,2013-12-15,35,1,35
SO72331,6505,102,2013-12-04,2013-12-11,2013-12-16,5,1,5
SO72374,6688,102,2013-12-05,2013-12-12,2013-12-17,5,1,5
SO72419,15648,163,2013-12-05,2013-12-12,2013-12-17,742,1,742
SO72433,11638,102,2013-12-05,2013-12-12,2013-12-17,5,1,5
SO72514,13593,102,2013-12-07,2013-12-14,2013-12-19,5,1,5
SO74747,15397,188,2014-01-16,2014-01-23,2014-01-28,50,1,50
SO74801,741,102,2014-01-18,2014-01-25,2014-01-30,5,1,5
SO74847,2963,188,2014-01-20,2014-01-27,2014-02-01,50,1,50
SO74860,10618,102,2014-01-20,2014-01-27,2014-02-01,5,1,5
SO74862,3097,102,2014-01-20,2014-01-27,2014-02-01,5,1,5
SO74865,7074,102,2014-01-20,2014-01-27,2014-02-01,5,1,5
SO74879,1691,105,2014-01-21,2014-01-28,2014-02-02,159,1,159
SO74931,6590,102,2014-01-22,2014-01-29,2014-02-03,5,1,5
SO75021,13860,102,2014-01-25,2014-02-01,2014-02-06,5,1,5
SO75021,13860,108,2014-01-25,2014-02-01,2014-02-06,35,1,35
SO75024,11821,102,2014-01-25,2014-02-01,2014-02-06,5,1,5
SO75031,13307,102,2014-01-26,2014-02-02,2014-02-07,5,1,5
SO60672,2757,185,2013-06-22,2013-06-29,2013-07-04,24,1,24
SO60723,13544,120,2013-06-23,2013-06-30,2013-07-05,4,1,4
SO60750,15609,103,2013-06-23,2013-06-30,2013-07-05,9,1,9
SO60788,10452,183,2013-06-24,2013-07-01,2013-07-06,9,1,9
SO60813,2473,113,2013-06-24,2013-07-01,2013-07-06,5,1,5
SO60818,110,183,2013-06-24,2013-07-01,2013-07-06,9,1,9
SO60825,6669,103,2013-06-24,2013-07-01,2013-07-06,9,1,9
SO60831,14739,103,2013-06-24,2013-07-01,2013-07-06,9,1,9
SO60875,4202,113,2013-06-25,2013-07-02,2013-07-07,5,1,5
SO60919,18444,120,2013-06-26,2013-07-03,2013-07-08,4,1,4
SO60926,8707,125,2013-06-26,2013-07-03,2013-07-08,540,1,540
SO60926,8707,183,2013-06-26,2013-07-03,2013-07-08,9,1,9
SO60928,2948,113,2013-06-26,2013-07-03,2013-07-08,5,1,5
SO60928,2948,201,2013-06-26,2013-07-03,2013-07-08,64,1,64
SO60933,14575,183,2013-06-26,2013-07-03,2013-07-08,9,1,9
SO58023,7764,113,2013-05-15,2013-05-22,2013-05-27,5,1,5
SO58036,17615,183,2013-05-15,2013-05-22,2013-05-27,9,1,9
SO58042,2757,120,2013-05-15,2013-05-22,2013-05-27,4,1,4
SO58060,4997,135,2013-05-15,2013-05-22,2013-05-27,565,1,565
SO58068,14187,185,2013-05-15,2013-05-22,2013-05-27,24,1,24
SO58090,11990,113,2013-05-16,2013-05-23,2013-05-28,5,1,5
SO58097,3484,113,2013-05-16,2013-05-23,2013-05-28,5,1,5
SO58104,11797,183,2013-05-16,2013-05-23,2013-05-28,9,1,9
SO58125,12081,183,2013-05-16,2013-05-23,2013-05-28,9,1,9
SO58127,12987,120,2013-05-16,2013-05-23,2013-05-28,4,1,4
SO58135,15786,113,2013-05-17,2013-05-24,2013-05-29,5,1,5
SO58225,9961,120,2013-05-18,2013-05-25,2013-05-30,4,1,4
SO58245,1989,113,2013-05-18,2013-05-25,2013-05-30,5,1,5
SO58297,16370,183,2013-05-20,2013-05-27,2013-06-01,9,1,9
SO58319,7044,113,2013-05-20,2013-05-27,2013-06-01,5,1,5
SO58321,3725,113,2013-05-20,2013-05-27,2013-06-01,5,1,5
SO58355,16345,196,2013-05-21,2013-05-28,2013-06-02,70,1,70
SO58364,17981,120,2013-05-21,2013-05-28,2013-06-02,4,1,4
SO58365,301,120,2013-05-21,2013-05-28,2013-06-02,4,1,4
SO63490,9675,103,2013-08-02,2013-08-09,2013-08-14,9,1,9
SO63505,3193,183,2013-08-03,2013-08-10,2013-08-15,9,1,9
SO63516,92,113,2013-08-03,2013-08-10,2013-08-15,5,1,5
SO63529,17454,117,2013-08-03,2013-08-10,2013-08-15,5,1,5
SO63537,12594,120,2013-08-03,2013-08-10,2013-08-15,4,1,4
SO63540,15107,183,2013-08-03,2013-08-10,2013-08-15,9,1,9
SO63548,16879,117,2013-08-03,2013-08-10,2013-08-15,5,1,5
SO63595,1596,183,2013-08-04,2013-08-11,2013-08-16,9,1,9
SO63615,6660,159,2013-08-04,2013-08-11,2013-08-16,1701,1,1701
SO63442,13985,120,2013-08-02,2013-08-09,2013-08-14,4,1,4
SO63456,5578,113,2013-08-02,2013-08-09,2013-08-14,5,1,5
SO63458,6798,113,2013-08-02,2013-08-09,2013-08-14,5,1,5
SO63562,4677,113,2013-08-04,2013-08-11,2013-08-16,5,1,5
SO63594,412,103,2013-08-04,2013-08-11,2013-08-16,9,1,9
SO63594,412,185,2013-08-04,2013-08-11,2013-08-16,24,1,24
SO63616,6663,183,2013-08-04,2013-08-11,2013-08-16,9,1,9
SO63642,13733,120,2013-08-05,2013-08-12,2013-08-17,4,1,4
SO63642,13733,183,2013-08-05,2013-08-12,2013-08-17,9,1,9
SO74282,15638,117,2014-01-02,2014-01-09,2014-01-14,5,1,5
SO74296,5275,113,2014-01-02,2014-01-09,2014-01-14,5,1,5
SO74335,295,113,2014-01-03,2014-01-10,2014-01-15,5,1,5
SO74338,3020,120,2014-01-04,2014-01-11,2014-01-16,4,1,4
SO74343,16191,117,2014-01-04,2014-01-11,2014-01-16,5,1,5
SO74348,12244,113,2014-01-04,2014-01-11,2014-01-16,5,1,5
SO74429,12094,113,2014-01-06,2014-01-13,2014-01-18,5,1,5
SO74435,5577,113,2014-01-06,2014-01-13,2014-01-18,5,1,5
SO74447,278,120,2014-01-07,2014-01-14,2014-01-19,4,1,4
SO74448,15104,113,2014-01-07,2014-01-14,2014-01-19,5,1,5
SO74461,12448,120,2014-01-07,2014-01-14,2014-01-19,4,1,4
SO74557,95,183,2014-01-11,2014-01-18,2014-01-23,9,1,9
SO74569,5009,113,2014-01-11,2014-01-18,2014-01-23,5,1,5
SO74594,17678,117,2014-01-12,2014-01-19,2014-01-24,5,1,5
SO74608,4691,120,2014-01-12,2014-01-19,2014-01-24,4,1,4
SO74645,11661,120,2014-01-13,2014-01-20,2014-01-25,4,1,4
SO74652,7749,120,2014-01-14,2014-01-21,2014-01-26,4,1,4
SO74660,278,120,2014-01-14,2014-01-21,2014-01-26,4,1,4
SO74692,8269,113,2014-01-15,2014-01-22,2014-01-27,5,1,5
SO74712,10676,120,2014-01-15,2014-01-22,2014-01-27,4,1,4
SO74728,278,113,2014-01-16,2014-01-23,2014-01-28,5,1,5
SO66048,214,113,2013-09-09,2013-09-16,2013-09-21,5,1,5
SO66101,16190,117,2013-09-10,2013-09-17,2013-09-22,5,1,5
SO66101,16190,185,2013-09-10,2013-09-17,2013-09-22,24,1,24
SO66125,16175,117,2013-09-10,2013-09-17,2013-09-22,5,1,5
SO66143,14953,183,2013-09-10,2013-09-17,2013-09-22,9,1,9
SO66160,16976,117,2013-09-11,2013-09-18,2013-09-23,5,1,5
SO66163,278,120,2013-09-11,2013-09-18,2013-09-23,4,1,4
SO66218,14334,120,2013-09-12,2013-09-19,2013-09-24,4,1,4
SO66218,14334,201,2013-09-12,2013-09-19,2013-09-24,64,1,64
SO66226,11376,113,2013-09-12,2013-09-19,2013-09-24,5,1,5
SO75088,3681,108,2014-01-28,2014-02-04,2014-02-09,35,1,35
SO52469,407,102,2013-02-09,2013-02-16,2013-02-21,5,1,5
SO52485,821,108,2013-02-09,2013-02-16,2013-02-21,35,1,35
SO52492,11053,102,2013-02-09,2013-02-16,2013-02-21,5,1,5
SO52506,14628,108,2013-02-09,2013-02-16,2013-02-21,35,1,35
SO52519,10333,148,2013-02-09,2013-02-16,2013-02-21,540,1,540
SO52549,8278,102,2013-02-10,2013-02-17,2013-02-22,5,1,5
SO52549,8278,108,2013-02-10,2013-02-17,2013-02-22,35,1,35
SO52601,12990,102,2013-02-11,2013-02-18,2013-02-23,5,1,5
SO52617,958,102,2013-02-12,2013-02-19,2013-02-24,5,1,5
SO52617,958,108,2013-02-12,2013-02-19,2013-02-24,35,1,35
SO52631,10716,102,2013-02-12,2013-02-19,2013-02-24,5,1,5
SO58661,8761,188,2013-05-26,2013-06-02,2013-06-07,50,1,50
SO58732,9699,102,2013-05-27,2013-06-03,2013-06-08,5,1,5
SO58743,7155,102,2013-05-27,2013-06-03,2013-06-08,5,1,5
SO58766,53,108,2013-05-27,2013-06-03,2013-06-08,35,1,35
SO58776,1992,102,2013-05-27,2013-06-03,2013-06-08,5,1,5
SO58800,3296,108,2013-05-28,2013-06-04,2013-06-09,35,1,35
SO58845,9047,102,2013-05-29,2013-06-05,2013-06-10,5,1,5
SO58888,11169,102,2013-05-29,2013-06-05,2013-06-10,5,1,5
SO66782,6975,102,2013-09-21,2013-09-28,2013-10-03,5,1,5
SO66838,9880,151,2013-09-22,2013-09-29,2013-10-04,2443,1,2443
SO66838,9880,102,2013-09-22,2013-09-29,2013-10-04,5,1,5
SO66902,5150,102,2013-09-23,2013-09-30,2013-10-05,5,1,5
SO66913,10851,102,2013-09-23,2013-09-30,2013-10-05,5,1,5
SO55397,1315,139,2013-03-31,2013-04-07,2013-04-12,2295,1,2295
SO55412,10776,102,2013-03-31,2013-04-07,2013-04-12,5,1,5
SO69046,13683,102,2013-10-24,2013-10-31,2013-11-05,5,1,5
SO69085,16908,102,2013-10-24,2013-10-31,2013-11-05,5,1,5
SO69113,5843,102,2013-10-25,2013-11-01,2013-11-06,5,1,5
SO69120,16890,108,2013-10-25,2013-11-01,2013-11-06,35,1,35
SO69221,16140,102,2013-10-26,2013-11-02,2013-11-07,5,1,5
SO69235,9189,108,2013-10-26,2013-11-02,2013-11-07,35,1,35
SO69314,9270,102,2013-10-28,2013-11-04,2013-11-09,5,1,5
SO69318,3706,139,2013-10-28,2013-11-04,2013-11-09,2295,1,2295
SO69333,11011,102,2013-10-28,2013-11-04,2013-11-09,5,1,5
SO69577,1851,102,2013-10-29,2013-11-05,2013-11-10,5,1,5
SO69651,14450,102,2013-10-29,2013-11-05,2013-11-10,5,1,5
SO69652,8285,108,2013-10-29,2013-11-05,2013-11-10,35,1,35
SO60688,18012,102,2013-06-22,2013-06-29,2013-07-04,5,1,5
SO60695,6465,188,2013-06-22,2013-06-29,2013-07-04,50,1,50
SO60717,5243,102,2013-06-23,2013-06-30,2013-07-05,5,1,5
SO60742,9239,151,2013-06-23,2013-06-30,2013-07-05,2443,1,2443
SO60764,81,108,2013-06-23,2013-06-30,2013-07-05,35,1,35
SO60785,11193,188,2013-06-24,2013-07-01,2013-07-06,50,1,50
SO60792,6178,102,2013-06-24,2013-07-01,2013-07-06,5,1,5
SO60810,11997,102,2013-06-24,2013-07-01,2013-07-06,5,1,5
SO60936,8971,151,2013-06-26,2013-07-03,2013-07-08,2443,1,2443
SO60936,8971,102,2013-06-26,2013-07-03,2013-07-08,5,1,5
SO60940,15607,166,2013-06-26,2013-07-03,2013-07-08,742,1,742
SO60940,15607,102,2013-06-26,2013-07-03,2013-07-08,5,1,5
SO60940,15607,108,2013-06-26,2013-07-03,2013-07-08,35,1,35
SO60964,12129,102,2013-06-27,2013-07-04,2013-07-09,5,1,5
SO60964,12129,108,2013-06-27,2013-07-04,2013-07-09,35,1,35
SO72125,13030,102,2013-12-01,2013-12-08,2013-12-13,5,1,5
SO72238,5126,102,2013-12-03,2013-12-10,2013-12-15,5,1,5
SO72314,2152,102,2013-12-04,2013-12-11,2013-12-16,5,1,5
SO72319,7417,102,2013-12-04,2013-12-11,2013-12-16,5,1,5
SO72319,7417,108,2013-12-04,2013-12-11,2013-12-16,35,1,35
SO72340,12881,102,2013-12-04,2013-12-11,2013-12-16,5,1,5
SO72417,5496,139,2013-12-05,2013-12-12,2013-12-17,2295,1,2295
SO72436,14485,108,2013-12-05,2013-12-12,2013-12-17,35,1,35
SO52329,481,139,2013-02-06,2013-02-13,2013-02-18,2295,1,2295
SO52329,481,102,2013-02-06,2013-02-13,2013-02-18,5,1,5
SO52409,413,102,2013-02-08,2013-02-15,2013-02-20,5,1,5
SO52571,8403,102,2013-02-10,2013-02-17,2013-02-22,5,1,5
SO52633,4560,102,2013-02-12,2013-02-19,2013-02-24,5,1,5
SO52655,1717,102,2013-02-12,2013-02-19,2013-02-24,5,1,5
SO74760,17025,105,2014-01-17,2014-01-24,2014-01-29,159,1,159
SO74782,1234,108,2014-01-17,2014-01-24,2014-01-29,35,1,35
SO74783,1552,188,2014-01-17,2014-01-24,2014-01-29,50,1,50
SO74800,2702,102,2014-01-18,2014-01-25,2014-01-30,5,1,5
SO74892,4827,102,2014-01-21,2014-01-28,2014-02-02,5,1,5
SO74908,14,108,2014-01-21,2014-01-28,2014-02-02,35,1,35
SO74950,10758,102,2014-01-23,2014-01-30,2014-02-04,5,1,5
SO74950,10758,108,2014-01-23,2014-01-30,2014-02-04,35,1,35
SO74993,11494,102,2014-01-24,2014-01-31,2014-02-05,5,1,5
SO75019,3169,102,2014-01-25,2014-02-01,2014-02-06,5,1,5
SO75089,8586,108,2014-01-28,2014-02-04,2014-02-09,35,1,35
SO58178,3437,102,2013-05-17,2013-05-24,2013-05-29,5,1,5
SO58196,2253,108,2013-05-18,2013-05-25,2013-05-30,35,1,35
SO58226,15840,108,2013-05-18,2013-05-25,2013-05-30,35,1,35
SO58317,8467,108,2013-05-20,2013-05-27,2013-06-01,35,1,35
SO67079,17523,202,2013-09-25,2013-10-02,2013-10-07,64,1,64
SO67113,9901,110,2013-09-26,2013-10-03,2013-10-08,35,1,35
SO67131,14833,112,2013-09-26,2013-10-03,2013-10-08,2,1,2
SO67154,14240,112,2013-09-27,2013-10-04,2013-10-09,2,1,2
SO67182,1790,137,2013-09-27,2013-10-04,2013-10-09,2295,1,2295
SO67182,1790,110,2013-09-27,2013-10-04,2013-10-09,35,1,35
SO72670,2942,101,2013-12-09,2013-12-16,2013-12-21,10,1,10
SO72713,17071,175,2013-12-09,2013-12-16,2013-12-21,2384,1,2384
SO72721,3717,154,2013-12-09,2013-12-16,2013-12-21,540,1,540
SO72767,7579,101,2013-12-10,2013-12-17,2013-12-22,10,1,10
SO72309,11484,110,2013-12-04,2013-12-11,2013-12-16,35,1,35
SO72351,3714,186,2013-12-04,2013-12-11,2013-12-16,24,1,24
SO72413,11988,110,2013-12-05,2013-12-12,2013-12-17,35,1,35
SO72413,11988,186,2013-12-05,2013-12-12,2013-12-17,24,1,24
SO72427,13324,154,2013-12-05,2013-12-12,2013-12-17,540,1,540
SO58113,8793,110,2013-05-16,2013-05-23,2013-05-28,35,1,35
SO58130,3715,137,2013-05-17,2013-05-24,2013-05-29,2295,1,2295
SO58193,2409,137,2013-05-18,2013-05-25,2013-05-30,2295,1,2295
SO58193,2409,101,2013-05-18,2013-05-25,2013-05-30,10,1,10
SO58205,15063,184,2013-05-18,2013-05-25,2013-05-30,24,1,24
SO58230,824,101,2013-05-18,2013-05-25,2013-05-30,10,1,10
SO58249,13924,186,2013-05-19,2013-05-26,2013-05-31,24,1,24
SO58256,7760,122,2013-05-19,2013-05-26,2013-05-31,21,1,21
SO58261,4869,101,2013-05-19,2013-05-26,2013-05-31,10,1,10
SO58261,4869,184,2013-05-19,2013-05-26,2013-05-31,24,1,24
SO58262,10450,101,2013-05-19,2013-05-26,2013-05-31,10,1,10
SO58283,11134,112,2013-05-19,2013-05-26,2013-05-31,2,1,2
SO58303,15261,186,2013-05-20,2013-05-27,2013-06-01,24,1,24
SO58322,823,112,2013-05-20,2013-05-27,2013-06-01,2,1,2
SO58334,2661,141,2013-05-20,2013-05-27,2013-06-01,2295,1,2295
SO58334,2661,110,2013-05-20,2013-05-27,2013-06-01,35,1,35
SO58335,2327,141,2013-05-20,2013-05-27,2013-06-01,2295,1,2295
SO58338,2526,184,2013-05-20,2013-05-27,2013-06-01,24,1,24
SO58368,14209,112,2013-05-21,2013-05-28,2013-06-02,2,1,2
SO58397,2428,141,2013-05-21,2013-05-28,2013-06-02,2295,1,2295
SO58424,288,112,2013-05-22,2013-05-29,2013-06-03,2,1,2
SO60740,8312,110,2013-06-23,2013-06-30,2013-07-05,35,1,35
SO60765,3714,141,2013-06-24,2013-07-01,2013-07-06,2295,1,2295
SO60765,3714,101,2013-06-24,2013-07-01,2013-07-06,10,1,10
SO60784,7507,110,2013-06-24,2013-07-01,2013-07-06,35,1,35
SO60786,10414,101,2013-06-24,2013-07-01,2013-07-06,10,1,10
SO60796,2762,186,2013-06-24,2013-07-01,2013-07-06,24,1,24
SO60862,5972,110,2013-06-25,2013-07-02,2013-07-07,35,1,35
SO60862,5972,184,2013-06-25,2013-07-02,2013-07-07,24,1,24
SO60866,11385,110,2013-06-25,2013-07-02,2013-07-07,35,1,35
SO60874,873,141,2013-06-25,2013-07-02,2013-07-07,2295,1,2295
SO60874,873,110,2013-06-25,2013-07-02,2013-07-07,35,1,35
SO60915,10132,110,2013-06-26,2013-07-03,2013-07-08,35,1,35
SO60929,2493,101,2013-06-26,2013-07-03,2013-07-08,10,1,10
SO60950,9829,147,2013-06-26,2013-07-03,2013-07-08,1120,1,1120
SO60992,6805,110,2013-06-27,2013-07-04,2013-07-09,35,1,35
SO60997,13876,122,2013-06-27,2013-07-04,2013-07-09,21,1,21
SO60997,13876,112,2013-06-27,2013-07-04,2013-07-09,2,1,2
SO61000,888,110,2013-06-27,2013-07-04,2013-07-09,35,1,35
SO61016,4364,101,2013-06-27,2013-07-04,2013-07-09,10,1,10
SO66486,18186,154,2013-09-16,2013-09-23,2013-09-28,540,1,540
SO66486,18186,122,2013-09-16,2013-09-23,2013-09-28,21,1,21
SO66486,18186,112,2013-09-16,2013-09-23,2013-09-28,2,1,2
SO66517,2010,110,2013-09-17,2013-09-24,2013-09-29,35,1,35
SO66593,10468,101,2013-09-18,2013-09-25,2013-09-30,10,1,10
SO66649,4599,101,2013-09-19,2013-09-26,2013-10-01,10,1,10
SO66658,20,122,2013-09-19,2013-09-26,2013-10-01,21,1,21
SO66658,20,112,2013-09-19,2013-09-26,2013-10-01,2,1,2
SO66661,10635,101,2013-09-19,2013-09-26,2013-10-01,10,1,10
SO66682,2195,110,2013-09-19,2013-09-26,2013-10-01,35,1,35
SO66696,1357,175,2013-09-19,2013-09-26,2013-10-01,2384,1,2384
SO66696,1357,110,2013-09-19,2013-09-26,2013-10-01,35,1,35
SO66765,6204,101,2013-09-21,2013-09-28,2013-10-03,10,1,10
SO66801,4617,112,2013-09-21,2013-09-28,2013-10-03,2,1,2
SO66802,13844,202,2013-09-21,2013-09-28,2013-10-03,64,1,64
SO66802,13844,122,2013-09-21,2013-09-28,2013-10-03,21,1,21
SO66824,12404,154,2013-09-21,2013-09-28,2013-10-03,540,1,540
SO66857,6841,110,2013-09-22,2013-09-29,2013-10-04,35,1,35
SO45973,774,15,2011-10-23,2011-10-30,2011-11-04,3578,1,3578
SO45984,691,15,2011-10-25,2011-11-01,2011-11-06,3578,1,3578
SO45993,925,15,2011-10-26,2011-11-02,2011-11-07,3578,1,3578
SO46011,490,3,2011-10-28,2011-11-04,2011-11-09,3375,1,3375
SO46147,8477,43,2011-11-03,2011-11-10,2011-11-15,699,1,699
SO46262,9446,15,2011-11-18,2011-11-25,2011-11-30,3578,1,3578
SO46271,1173,15,2011-11-20,2011-11-27,2011-12-02,3578,1,3578
SO46273,15061,3,2011-11-20,2011-11-27,2011-12-02,3375,1,3375
SO46283,15094,3,2011-11-21,2011-11-28,2011-12-03,3375,1,3375
SO46390,1441,15,2011-11-29,2011-12-06,2011-12-11,3578,1,3578
SO66252,10556,120,2013-09-12,2013-09-19,2013-09-24,4,1,4
SO66278,12296,113,2013-09-13,2013-09-20,2013-09-25,5,1,5
SO66319,4209,183,2013-09-14,2013-09-21,2013-09-26,9,1,9
SO66353,4843,113,2013-09-14,2013-09-21,2013-09-26,5,1,5
SO66388,12565,113,2013-09-15,2013-09-22,2013-09-27,5,1,5
SO66399,9955,120,2013-09-15,2013-09-22,2013-09-27,4,1,4
SO51990,1166,185,2013-01-30,2013-02-06,2013-02-11,24,1,24
SO51998,6883,113,2013-01-30,2013-02-06,2013-02-11,5,1,5
SO52000,16943,117,2013-01-30,2013-02-06,2013-02-11,5,1,5
SO52065,12312,146,2013-02-01,2013-02-08,2013-02-13,1120,1,1120
SO52068,2636,113,2013-02-01,2013-02-08,2013-02-13,5,1,5
SO52076,17227,120,2013-02-01,2013-02-08,2013-02-13,4,1,4
SO52091,4158,196,2013-02-01,2013-02-08,2013-02-13,70,1,70
SO52112,497,183,2013-02-02,2013-02-09,2013-02-14,9,1,9
SO52129,6028,113,2013-02-02,2013-02-09,2013-02-14,5,1,5
SO52132,7665,183,2013-02-02,2013-02-09,2013-02-14,9,1,9
SO52171,4173,117,2013-02-03,2013-02-10,2013-02-15,5,1,5
SO52182,8169,196,2013-02-03,2013-02-10,2013-02-15,70,1,70
SO52189,4258,113,2013-02-03,2013-02-10,2013-02-15,5,1,5
SO52205,7701,159,2013-02-03,2013-02-10,2013-02-15,1701,1,1701
SO52205,7701,103,2013-02-03,2013-02-10,2013-02-15,9,1,9
SO52230,13498,120,2013-02-04,2013-02-11,2013-02-16,4,1,4
SO52241,6448,183,2013-02-04,2013-02-11,2013-02-16,9,1,9
SO52243,11545,113,2013-02-04,2013-02-11,2013-02-16,5,1,5
SO52248,3705,113,2013-02-04,2013-02-11,2013-02-16,5,1,5
SO52275,10610,103,2013-02-04,2013-02-11,2013-02-16,9,1,9
SO52327,10022,120,2013-02-05,2013-02-12,2013-02-17,4,1,4
SO57907,5927,103,2013-05-13,2013-05-20,2013-05-25,9,1,9
SO57907,5927,183,2013-05-13,2013-05-20,2013-05-25,9,1,9
SO57924,8920,113,2013-05-13,2013-05-20,2013-05-25,5,1,5
SO57929,13014,117,2013-05-13,2013-05-20,2013-05-25,5,1,5
SO57959,3523,120,2013-05-14,2013-05-21,2013-05-26,4,1,4
SO57987,8935,120,2013-05-14,2013-05-21,2013-05-26,4,1,4
SO57989,14654,183,2013-05-14,2013-05-21,2013-05-26,9,1,9
SO57995,715,113,2013-05-14,2013-05-21,2013-05-26,5,1,5
SO57999,3337,196,2013-05-14,2013-05-21,2013-05-26,70,1,70
SO45497,17355,13,2011-08-26,2011-09-02,2011-09-07,3578,1,3578
SO45507,8617,16,2011-08-26,2011-09-02,2011-09-07,3578,1,3578
SO45595,516,16,2011-08-31,2011-09-07,2011-09-12,3578,1,3578
SO45616,3801,16,2011-09-03,2011-09-10,2011-09-15,3578,1,3578
SO45632,3776,16,2011-09-05,2011-09-12,2011-09-17,3578,1,3578
SO45634,8767,16,2011-09-05,2011-09-12,2011-09-17,3578,1,3578
SO45639,8783,13,2011-09-06,2011-09-13,2011-09-18,3578,1,3578
SO45640,8965,13,2011-09-06,2011-09-13,2011-09-18,3578,1,3578
SO45641,12307,13,2011-09-07,2011-09-14,2011-09-19,3578,1,3578
SO45674,8949,16,2011-09-12,2011-09-19,2011-09-24,3578,1,3578
SO45679,541,16,2011-09-13,2011-09-20,2011-09-25,3578,1,3578
SO45695,293,13,2011-09-15,2011-09-22,2011-09-27,3578,1,3578
SO45699,3751,54,2011-09-15,2011-09-22,2011-09-27,699,1,699
SO45723,291,13,2011-09-20,2011-09-27,2011-10-02,3578,1,3578
SO45925,943,8,2011-10-15,2011-10-22,2011-10-27,3400,1,3400
SO45952,970,8,2011-10-19,2011-10-26,2011-10-31,3400,1,3400
SO45976,9240,16,2011-10-23,2011-10-30,2011-11-04,3578,1,3578
SO69100,11691,120,2013-10-25,2013-11-01,2013-11-06,4,1,4
SO69100,11691,183,2013-10-25,2013-11-01,2013-11-06,9,1,9
SO69103,1963,183,2013-10-25,2013-11-01,2013-11-06,9,1,9
SO69115,4939,113,2013-10-25,2013-11-01,2013-11-06,5,1,5
SO69123,809,113,2013-10-25,2013-11-01,2013-11-06,5,1,5
SO69158,3317,117,2013-10-25,2013-11-01,2013-11-06,5,1,5
SO69205,2665,117,2013-10-26,2013-11-02,2013-11-07,5,1,5
SO69233,16076,103,2013-10-26,2013-11-02,2013-11-07,9,1,9
SO69249,12316,117,2013-10-27,2013-11-03,2013-11-08,5,1,5
SO69282,11814,113,2013-10-27,2013-11-03,2013-11-08,5,1,5
SO69340,17262,113,2013-10-28,2013-11-04,2013-11-09,5,1,5
SO69356,16948,117,2013-10-28,2013-11-04,2013-11-09,5,1,5
SO69368,5834,183,2013-10-28,2013-11-04,2013-11-09,9,1,9
SO69370,5105,113,2013-10-28,2013-11-04,2013-11-09,5,1,5
SO69371,4228,113,2013-10-28,2013-11-04,2013-11-09,5,1,5
SO69371,4228,201,2013-10-28,2013-11-04,2013-11-09,64,1,64
SO69380,12868,183,2013-10-28,2013-11-04,2013-11-09,9,1,9
SO60646,4823,120,2013-06-22,2013-06-29,2013-07-04,4,1,4
SO60679,8658,113,2013-06-22,2013-06-29,2013-07-04,5,1,5
SO60684,12409,159,2013-06-22,2013-06-29,2013-07-04,1701,1,1701
SO60697,6066,196,2013-06-23,2013-06-30,2013-07-05,70,1,70
SO60701,1352,113,2013-06-23,2013-06-30,2013-07-05,5,1,5
SO60705,261,120,2013-06-23,2013-06-30,2013-07-05,4,1,4
SO60719,17546,183,2013-06-23,2013-06-30,2013-07-05,9,1,9
SO60749,15601,183,2013-06-23,2013-06-30,2013-07-05,9,1,9
SO60752,14624,103,2013-06-23,2013-06-30,2013-07-05,9,1,9
SO60753,11296,120,2013-06-23,2013-06-30,2013-07-05,4,1,4
SO60758,15867,120,2013-06-23,2013-06-30,2013-07-05,4,1,4
SO60783,12066,113,2013-06-24,2013-07-01,2013-07-06,5,1,5
SO60808,1538,183,2013-06-24,2013-07-01,2013-07-06,9,1,9
SO58391,8144,130,2013-05-21,2013-05-28,2013-06-02,565,1,565
SO58478,6054,114,2013-05-23,2013-05-30,2013-06-04,30,1,30
SO52133,5954,199,2013-02-02,2013-02-09,2013-02-14,9,1,9
SO52165,5618,114,2013-02-03,2013-02-10,2013-02-15,30,1,30
SO52188,4431,109,2013-02-03,2013-02-10,2013-02-15,35,1,35
SO52271,56,109,2013-02-04,2013-02-11,2013-02-16,35,1,35
SO52285,2159,109,2013-02-05,2013-02-12,2013-02-17,35,1,35
SO52316,439,109,2013-02-05,2013-02-12,2013-02-17,35,1,35
SO52358,15415,121,2013-02-06,2013-02-13,2013-02-18,29,1,29
